Bandit,Reward,Algorithm
0,1,EpsilonGreedy
1,0,EpsilonGreedy
2,1,EpsilonGreedy
3,1,EpsilonGreedy
4,0,EpsilonGreedy
5,1,EpsilonGreedy
6,0,EpsilonGreedy
7,0,EpsilonGreedy
8,1,EpsilonGreedy
9,0,EpsilonGreedy
10,0,EpsilonGreedy
11,0,EpsilonGreedy
12,0,EpsilonGreedy
13,0,EpsilonGreedy
14,0,EpsilonGreedy
15,0,EpsilonGreedy
16,0,EpsilonGreedy
17,0,EpsilonGreedy
18,0,EpsilonGreedy
19,1,EpsilonGreedy
20,0,EpsilonGreedy
21,0,EpsilonGreedy
22,0,EpsilonGreedy
23,1,EpsilonGreedy
24,0,EpsilonGreedy
25,0,EpsilonGreedy
26,1,EpsilonGreedy
27,0,EpsilonGreedy
28,0,EpsilonGreedy
29,1,EpsilonGreedy
30,1,EpsilonGreedy
31,1,EpsilonGreedy
32,1,EpsilonGreedy
33,0,EpsilonGreedy
34,1,EpsilonGreedy
35,0,EpsilonGreedy
36,0,EpsilonGreedy
37,0,EpsilonGreedy
38,0,EpsilonGreedy
39,1,EpsilonGreedy
40,0,EpsilonGreedy
41,0,EpsilonGreedy
42,0,EpsilonGreedy
43,0,EpsilonGreedy
44,0,EpsilonGreedy
45,0,EpsilonGreedy
46,0,EpsilonGreedy
47,1,EpsilonGreedy
48,0,EpsilonGreedy
49,0,EpsilonGreedy
50,0,EpsilonGreedy
51,0,EpsilonGreedy
52,0,EpsilonGreedy
53,0,EpsilonGreedy
54,1,EpsilonGreedy
55,0,EpsilonGreedy
56,0,EpsilonGreedy
57,0,EpsilonGreedy
58,0,EpsilonGreedy
59,0,EpsilonGreedy
60,0,EpsilonGreedy
61,1,EpsilonGreedy
62,0,EpsilonGreedy
63,0,EpsilonGreedy
64,1,EpsilonGreedy
65,1,EpsilonGreedy
66,0,EpsilonGreedy
67,0,EpsilonGreedy
68,1,EpsilonGreedy
69,0,EpsilonGreedy
70,1,EpsilonGreedy
71,0,EpsilonGreedy
72,0,EpsilonGreedy
73,1,EpsilonGreedy
74,1,EpsilonGreedy
75,0,EpsilonGreedy
76,0,EpsilonGreedy
77,0,EpsilonGreedy
78,0,EpsilonGreedy
79,0,EpsilonGreedy
80,1,EpsilonGreedy
81,0,EpsilonGreedy
82,0,EpsilonGreedy
83,1,EpsilonGreedy
84,1,EpsilonGreedy
85,0,EpsilonGreedy
86,0,EpsilonGreedy
87,0,EpsilonGreedy
88,1,EpsilonGreedy
89,1,EpsilonGreedy
90,0,EpsilonGreedy
91,0,EpsilonGreedy
92,0,EpsilonGreedy
93,0,EpsilonGreedy
